epoch,train_loss,val_loss,val_acc
1,0.5948504720183794,0.6573361875409177,0.7054825555052107
2,0.5268682884499903,0.5351518723129632,0.733574988672406
3,0.49935371921155414,0.5199900812620916,0.7498867240598097
4,0.4905224097174941,0.5445879141453656,0.737652922519257
5,0.4691247709858774,0.6475796910989431,0.686905301314001
6,0.45714905744558665,0.6279958760408886,0.7258722247394653
7,0.4461098379258772,0.5188104863830103,0.7584956955142728
8,0.4329667066511844,0.5247557167289588,0.7621205256003625
9,0.4361433235494418,0.5320605085238538,0.7530584503851382
10,0.4232194109710908,0.4639346925284347,0.792931581332125
11,0.40552278307493667,0.5129357094563777,0.7770729497054826
12,0.4126597742599892,0.4906410013435651,0.7820570910738559
13,0.3994766004444357,0.44826213589447034,0.797009515178976
14,0.39118000673145353,0.5112720409506957,0.7861350249207069
15,0.3958238049301362,0.5201687166795614,0.7784322609877662
16,0.3802173358682925,0.5713513096533699,0.7566832804712279
17,0.38262925322014746,0.5101117931667581,0.7761667421839601
18,0.3788592312569415,0.4602085755699946,0.7870412324422292
19,0.3808842810683108,0.49107544058634245,0.7770729497054826
20,0.3541518509496047,0.4903606060786003,0.7816039873130947
21,0.3443268260573217,0.5638879076841464,0.7720888083371092
22,0.350840051878828,0.5406520026649454,0.784322609877662
23,0.33558014364860755,0.5287399063512217,0.788400543724513
24,0.33798474894797703,0.5469388627174163,0.7902129587675578
25,0.3368520048511969,0.4953822217270644,0.797009515178976
26,0.32597770392624553,0.49453495890509774,0.7983688264612596
27,0.32560085566716096,0.5179767951362534,0.7942908926144087
28,0.3276526752592538,0.4951758003904639,0.7956502038966924
29,0.3189030615232905,0.49129095421044816,0.7965564114182148
30,0.3159929305342037,0.511812660426212,0.8006343452650657
31,0.31189446303915785,0.48618843431757974,0.8060715903942003
32,0.31406313977993733,0.49392195867638705,0.803352967829633
33,0.3059612377491845,0.49336997453692166,0.8015405527865881
34,0.3040280353720363,0.506998584261835,0.8019936565473493
35,0.3038314583889485,0.48725970789594353,0.8001812415043045
36,0.3049433463179622,0.48806760718393605,0.7956502038966924
37,0.30539676806436056,0.4909204671325649,0.8042591753511554
38,0.30673967512596334,0.5026824866747716,0.8019936565473493
39,0.29505592773745304,0.5116665148605413,0.8038060715903942
40,0.30207027299017225,0.5088394517589598,0.8015405527865881
41,0.2974751039407303,0.5280796296735883,0.7988219302220209
42,0.3023506643711602,0.5184364370161125,0.8042591753511554
43,0.2978569007633171,0.5134438858023584,0.8015405527865881
44,0.2870210327836242,0.5254968261902399,0.8028998640688718
45,0.2912341024480078,0.5194043698600368,0.8024467603081106
46,0.29861922797190527,0.5238247527814743,0.8006343452650657
47,0.29293118864432965,0.5270661229346206,0.8024467603081106
48,0.29099932826332686,0.531581158194004,0.803352967829633
49,0.2926023279334455,0.522126971000884,0.803352967829633
50,0.2944305502114681,0.5307019985959062,0.8047122791119167
51,0.28501254460645176,0.53104001456491,0.8042591753511554
52,0.2920572836347201,0.5252755688875576,0.8051653828726778
53,0.29707445856774817,0.5303906411891293,0.8024467603081106
54,0.2886483640640515,0.5333687435138479,0.801087449025827
55,0.28913082128368717,0.5313333466034644,0.803352967829633
56,0.2908022090833185,0.5246237390010023,0.8060715903942003
57,0.29108798911867634,0.5264599109376562,0.805618486633439
58,0.2837687468026188,0.5235064851519313,0.8074309016764839
59,0.2878177929281216,0.5242299691929664,0.8065246941549615
60,0.28533071822614314,0.5218896141784678,0.8051653828726778
61,0.2868927588056459,0.5204518238613386,0.8042591753511554
62,0.2901263449911842,0.5233735626619976,0.805618486633439
63,0.293857487257999,0.5198471555355506,0.8047122791119167
64,0.2920947632434037,0.5205789877917899,0.8047122791119167
65,0.2991381387816487,0.5226101703810162,0.805618486633439
66,0.28392562032394375,0.520556552571088,0.805618486633439
67,0.28928689611357983,0.5200689202204083,0.8051653828726778
68,0.2917269432912171,0.5205788929428944,0.805618486633439
69,0.2826683361991794,0.5218294840027533,0.8060715903942003
70,0.291186961010166,0.5230666288543082,0.805618486633439
71,0.2893390225640018,0.5232562484868685,0.8060715903942003
72,0.2874006255312822,0.521749809472119,0.805618486633439
73,0.2902079950866111,0.5218143426945266,0.805618486633439
74,0.29403705688249165,0.5220928850571495,0.8051653828726778
75,0.2834078657659529,0.5226984483708501,0.8047122791119167
76,0.28756755332404227,0.5229302731152298,0.8047122791119167
77,0.2880031273295851,0.5225364432704357,0.8047122791119167
78,0.29008164961340205,0.5214997331211347,0.805618486633439
79,0.2939084672106469,0.5219569393126847,0.805618486633439
80,0.29196770250094767,0.5211442202046062,0.805618486633439
81,0.2930999192344202,0.5209314994105506,0.805618486633439
82,0.2928379772472468,0.5211203961443674,0.805618486633439
83,0.29279445564325357,0.5212853843127649,0.805618486633439
84,0.296937673811143,0.5217621114170816,0.805618486633439
85,0.28538962974401355,0.5222823701944079,0.8047122791119167
86,0.287556672841986,0.5221845823604703,0.8047122791119167
87,0.2886338091690975,0.5221117319269962,0.8047122791119167
88,0.2877751440755476,0.5220594657563925,0.8047122791119167
89,0.28729065023328865,0.5222643171439194,0.8051653828726778
90,0.28965326654619233,0.5222007519095853,0.8047122791119167
91,0.28573017982818383,0.5222174235204793,0.8047122791119167
92,0.29167183963472154,0.5221331687496429,0.8047122791119167
93,0.2937599407172916,0.5221273735685482,0.8051653828726778
94,0.2898709673775615,0.5221439336131588,0.8047122791119167
95,0.2908740694535827,0.5221592592447658,0.8051653828726778
96,0.2878276893526235,0.5220710880139536,0.8047122791119167
97,0.29370098549565293,0.5219638406231115,0.8047122791119167
98,0.28795038578408694,0.5219575513743361,0.8047122791119167
99,0.2882989864941629,0.5219903061116611,0.8047122791119167
100,0.2898598475717785,0.5219890586002196,0.8047122791119167
