epoch,train_loss,val_loss,val_acc
1,0.5825586550795588,0.6495281410368525,0.6207521522428636
2,0.5302824804919045,0.6630141330780787,0.6465790666062529
3,0.49373322644238027,0.6723093046124402,0.6542818305391934
4,0.48516708990712654,0.4983356414361944,0.7412777526053467
5,0.4644692583399692,0.6358747408705488,0.7050294517444495
6,0.45978528574608934,0.46434675233365186,0.7766198459447213
7,0.44356046577853064,0.4516414068622399,0.7879474399637517
8,0.43261633231114605,0.45943610553132175,0.7829632985953784
9,0.4321992294634891,0.8623243047740592,0.6619845944721341
10,0.42881377631712264,0.5024906436161158,0.7571363842319891
11,0.4129015821440049,0.5978652014822025,0.7367467149977345
12,0.41263690023452504,0.6482355135109396,0.7199818758495695
13,0.410251900648271,0.4986290152007009,0.7439963751699139
14,0.38195614123603805,0.6451577944997537,0.7322156773901224
15,0.3868894520826158,0.6181699523679477,0.7154508382419574
16,0.378841871552757,0.5467449490657801,0.737652922519257
17,0.3713562776041593,0.7131554713252447,0.6887177163570458
18,0.3634953715805562,0.6407621740133556,0.7199818758495695
19,0.372007542324412,0.9071382763405218,0.6357045763479837
20,0.36277157605937255,0.7285155333784515,0.6946080652469415
21,0.3553421344685749,0.6531657555968069,0.7199818758495695
22,0.3542297449797149,0.8115234545279695,0.6801087449025827
23,0.3513220261954656,0.8521067713200371,0.6773901223380154
24,0.3478893341525295,0.7989102007443947,0.708201178069778
25,0.34488169536845636,0.9127140569643678,0.659719075668328
26,0.3455931117128267,0.8262079074323907,0.6814680561848664
27,0.3371204465546612,0.8625034323687136,0.6814680561848664
28,0.3408027651195405,0.9007793030805809,0.6619845944721341
29,0.3318842827247039,0.7700928688508437,0.695514272768464
30,0.33709877929358945,0.9242940120935764,0.6669687358405075
31,0.3379455138257927,0.8296859615736003,0.6751246035342093
32,0.334064676614642,0.7464479993493729,0.7004984141368373
33,0.32970315539501843,0.7942653251520692,0.6873584050747621
34,0.3363050064603956,0.8413873014268586,0.674218396012687
35,0.322251118104888,0.7385670816028718,0.6959673765292252
36,0.3313586227156742,0.7615819205025715,0.691436338921613
37,0.3281940323919571,0.7619476544408708,0.6991391028545537
38,0.3277409282307785,0.8054121272511,0.689170820117807
